Region,Farm,Codfrm,Date,Latitude,Longitude,Elevation,Collector,Order,Family,Tribe,Genus,Species,Codsp,Common name,Abundance,Report
Los Santos,Gerardo Fallas,GERFAL,2021-04-05T00:00:00Z,9.633098,-83.9951,1903,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",9,5
Los Santos,Heiner Marín,HEIMAR,2021-04-02T00:00:00Z,9.7479916,-84.04654,1539,R. Montoya/ A.Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",7,5
Los Santos,Heiner Marín,HEIMAR,2021-04-02T00:00:00Z,9.7479916,-84.04654,1539,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2,5
Los Santos,Iván Gutiérrez,IVAGUT,2021-03-31T00:00:00Z,9.639308,-83.997693,1770,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Iván Gutiérrez,IVAGUT,2021-03-31T00:00:00Z,9.639308,-83.997693,1770,B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1,5
Los Santos,Iván Gutiérrez,IVAGUT,2021-03-31T00:00:00Z,9.639308,-83.997693,1770,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Scaptotrigona,subobscuripennis,SCASUB,"Soncuano negro, picúsaro",5,6
Los Santos,Iván Gutiérrez,IVAGUT,2021-03-31T00:00:00Z,9.639308,-83.997693,1770,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",1,6
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,6
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",3,6
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,A. Zuñiga/ B. Cordero,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",11,6
Los Santos,Jaime Solis Umaña,JAISOL,2021-03-31T00:00:00Z,9.6757783,-83.99934,1624,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,nigerrima,TRINIG,"Atarrá, enredapelos",1,6
Los Santos,Joaquín Solís,JOASOL,2021-04-06T00:00:00Z,9.629235,-83.964393,1880,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",15,6
Los Santos,Joaquín Solís,JOASOL,2021-04-06T00:00:00Z,9.629235,-83.964393,1880,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1,6
Los Santos,Joaquín Solís,JOASOL,2021-04-06T00:00:00Z,9.629235,-83.964393,1880,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1,6
Los Santos,Joaquín Solís,JOASOL,2021-04-06T00:00:00Z,9.629235,-83.964393,1880,A. Zuñiga,Hymenoptera,Apidae,Xylocopini,Xylocopa,Unknown,XYLSPP,"Chiquizá, carpintera",1,6
Los Santos,Joselito Mora Mora,JOLMOR,2021-04-01T00:00:00Z,9.6790683,-84.0683983,1749,A. Zuñiga,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Joselito Mora Mora,JOLMOR,2021-04-01T00:00:00Z,9.6790683,-84.0683983,1749,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",3,6
Los Santos,Joselito Mora Mora,JOLMOR,2021-04-01T00:00:00Z,9.6790683,-84.0683983,1749,A. Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",2,6
Los Santos,José Mora,JOSMOR,2021-04-06T00:00:00Z,9.633778,-83.945283,2117,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,4,6
Los Santos,José Mora,JOSMOR,2021-04-06T00:00:00Z,9.633778,-83.945283,2117,A. Zuñiga/ M. Godinez,Hymenoptera,Apidae,Bombini,Bombus,melaleucus,BOMMEL,Chiquizá,2,6
Los Santos,Laura Ureña,LAUURE,2021-05-18T00:00:00Z,9.65230167,-83.948541,1779,R. Montoya/ A.Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",16,6
Los Santos,Laura Ureña,LAUURE,2021-05-18T00:00:00Z,9.65230167,-83.948541,1779,A. Zuñiga,Hymenoptera,Apidae,Bombini,Bombus,ephippiatus,BOMEPH,Chiquizá,1,6
Los Santos,Laura Ureña,LAUURE,2021-05-18T00:00:00Z,9.65230167,-83.948541,1779,R. Montoya/  M. Jimenez,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",5,6
Los Santos,Leo Valverde,LEOVAL,2021-04-23T00:00:00Z,9.61773833,-84.01792833,1523,A. Zuñiga/M.Jimenez,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",3,6
Los Santos,Leo Valverde,LEOVAL,2021-04-23T00:00:00Z,9.61773833,-84.01792833,1523,R. Montoya,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",1,6
Los Santos,Leo Valverde,LEOVAL,2021-04-23T00:00:00Z,9.61773833,-84.01792833,1523,R. Montoya/ A.Zuñiga,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",4,6
