farm_code,region,date,elevation_m,order,family,tribe,genus,species,codsp,common_name,abundance
36,Pérez Zeledón,2021-03-30T00:00:00Z,1060,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
49,Pérez Zeledón,2021-03-25T00:00:00Z,675,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",4
49,Pérez Zeledón,2021-03-25T00:00:00Z,675,Hymenoptera,Apidae,Meliponini,Nannotrigona,melleria,NANMEL,Chicopipe,1
49,Pérez Zeledón,2021-03-25T00:00:00Z,675,Hymenoptera,Apidae,Meliponini,Tetragona,ziegleri,TETZIE,"Mariolón, miel de leche, baba de buey",1
49,Pérez Zeledón,2021-03-25T00:00:00Z,675,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",2
49,Pérez Zeledón,2021-03-25T00:00:00Z,675,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,2
37,Pérez Zeledón,2021-03-31T00:00:00Z,1172,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",18
37,Pérez Zeledón,2021-03-31T00:00:00Z,1172,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",2
37,Pérez Zeledón,2021-03-31T00:00:00Z,1172,Hymenoptera,Apidae,Meliponini,Trigona,corvina,TRICOR,"Atarrá, arragre, enredapelos",2
38,Pérez Zeledón,2021-03-30T00:00:00Z,1172,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",25
38,Pérez Zeledón,2021-03-30T00:00:00Z,1172,Hymenoptera,Apidae,Euglossini,Eulaema,cingulata,EULCIN,"Chiquizá, abeja de las orquídeas",1
38,Pérez Zeledón,2021-03-30T00:00:00Z,1172,Hymenoptera,Apidae,Meliponini,Melipona,falax,MELFAL,Jicote congo,1
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Partamona,orizabaensis,PARORI,"Enreda pelo, atarrá de suelo",1
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Plebeia,frontalis,PLEFRO,Chupa ojos,2
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Tetragona,ziegleri,TETZIE,"Mariolón, miel de leche, baba de buey",1
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Tetragonisca,angustula,TETANG,"Mariola, mariaseca, mariquita",13
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Trigona,fulviventris,TRIFUL,"Culo de buey, culo de señora",1
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Apidae,Meliponini,Trigonisca,pipioli,TRIPIP,Chupa ojos,3
50,Pérez Zeledón,2021-03-23T00:00:00Z,693,Hymenoptera,Halictidae,Unknown,Unknown,unknown,HLCSPP,Unknown,1
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Apini,Apis,mellifera,APIMEL,"Abeja melifera, abeja de castilla",1
51,Pérez Zeledón,2021-03-23T00:00:00Z,873,Hymenoptera,Apidae,Meliponini,Cephalotrigona,zexmeniae,CEPZEX,"Tamagá, tamagá amarillo",1
